연도별,한국,중국,홍콩,일본,북한,싱가포르,대만
1955,5.65,6.11,4.44,2.96,3.46,6.61,6.72
1960,6.33,5.48,4.72,2.17,5.12,6.34,6.14
1965,5.6,6.15,5.05,2.03,3.85,5.12,5.41
1970,4.65,6.3,3.65,2.04,4.39,3.65,4.38
1975,4,4.85,3.01,2.13,4,2.82,3.33
1980,2.92,3.01,2.23,1.83,2.85,1.84,2.74
1985,2.23,2.52,1.72,1.76,2.8,1.69,2.23
1990,1.57,2.73,1.36,1.65,2.36,1.7,1.77
1995,1.68,1.83,1.26,1.48,2.25,1.73,1.76
2000,1.5,1.62,1.06,1.37,2.01,1.57,1.67
2005,1.21,1.61,0.95,1.3,2,1.35,1.33
2010,1.17,1.62,1.04,1.34,1.95,1.26,1.05
2015,1.23,1.64,1.2,1.41,1.93,1.23,1.11
2020,1.11,1.69,1.33,1.37,1.91,1.21,1.15
2025,1.08,1.7,1.41,1.37,1.86,1.24,1.24
2030,1.09,1.72,1.48,1.4,1.83,1.27,1.31
2035,1.18,1.73,1.54,1.45,1.8,1.3,1.37
2040,1.25,1.73,1.58,1.49,1.78,1.32,1.42